class_name,prompt
Normal,"A brain FLAIR MRI with normal dark ventricles and no hyperintensities."
Normal,"Brain FLAIR MRI showing normal volume with intact dark CSF spaces."
Normal,"FLAIR MRI of the brain displaying no bright lesions and normal sulci."
WMH,"A brain FLAIR MRI with bright white matter hyperintensities."
WMH,"Brain FLAIR MRI showing hyperintense signals in white matter."
WMH,"FLAIR MRI of the brain displaying periventricular bright hyperintensities."
Atrophy,"A brain FLAIR MRI showing cerebral atrophy with enlarged dark ventricles."
Atrophy,"Brain FLAIR MRI with widened sulci and prominent dark CSF spaces."
Atrophy,"FLAIR MRI of the brain displaying prominent dark CSF spaces and volume loss."
Old_Lesion,"A brain FLAIR MRI with focal bright hyperintense old lesion."
Old_Lesion,"Brain FLAIR MRI showing dark encephalomalacia and bright gliosis from old lesion."
Old_Lesion,"FLAIR MRI of the brain displaying old lesion with bright surrounding gliosis."
Special,"A brain FLAIR MRI with large irregular bright hyperintense lesion."
Special,"Brain FLAIR MRI showing extensive bright hyperintense abnormalities."
Special,"FLAIR MRI of the brain displaying prominent irregular hyperintense mass."
