class_name,prompt
Normal,"Brain FLAIR MRI showing normal parenchymal signal and dark CSF spaces."
Normal,"FLAIR MRI of the brain with homogeneous white matter and normal ventricles."
Normal,"Brain FLAIR MRI displaying unremarkable cortical and subcortical signal intensity."
WMH,"Brain FLAIR MRI showing periventricular and deep white matter hyperintensities."
WMH,"FLAIR MRI of the brain with bright punctate lesions in subcortical white matter."
WMH,"Brain FLAIR MRI displaying confluent hyperintense signal in periventricular white matter."
Atrophy,"Brain FLAIR MRI with enlarged dark ventricles and widened sulci."
Atrophy,"FLAIR MRI of the brain displaying prominent dark CSF spaces and volume loss."
Atrophy,"Brain FLAIR MRI showing cerebral atrophy with ex-vacuo ventricular enlargement."
Old_Lesion,"Brain FLAIR MRI showing focal encephalomalacia with dark CSF-filled cavity."
Old_Lesion,"FLAIR MRI of the brain with chronic lacunar infarct and surrounding gliotic hyperintensity."
Old_Lesion,"Brain FLAIR MRI displaying well-demarcated old lesion with bright gliotic rim."
Special,"Brain FLAIR MRI showing mass effect with adjacent bright edematous signal."
Special,"FLAIR MRI of the brain with abnormal heterogeneous hyperintense lesion and midline shift."
Special,"Brain FLAIR MRI displaying unusual focal bright signal with surrounding parenchymal distortion."
