class_name,prompt
Normal,"A normal brain FLAIR MRI scan."
Normal,"Brain FLAIR MRI showing healthy structures with dark CSF and normal parenchyma."
Normal,"An unremarkable brain FLAIR MRI without hyperintense lesions."
WMH,"A brain FLAIR MRI showing white matter hyperintensities."
WMH,"Brain FLAIR MRI with bright periventricular and subcortical spots."
WMH,"FLAIR MRI of the brain revealing hyperintense white matter lesions."
Atrophy,"A brain FLAIR MRI showing cerebral atrophy."
Atrophy,"Brain FLAIR MRI with enlarged dark ventricles and widened sulci."
Atrophy,"FLAIR MRI of the brain displaying prominent dark CSF spaces and volume loss."
Old_Lesion,"A brain FLAIR MRI showing an old remote lesion."
Old_Lesion,"Brain FLAIR MRI with a dark cystic encephalomalacic area and a bright gliotic rim."
Old_Lesion,"FLAIR MRI of the brain revealing remote tissue loss."
Special,"A brain FLAIR MRI showing a space-occupying lesion."
Special,"Brain FLAIR MRI with an atypical hyperintense mass or acute pathology."
Special,"FLAIR MRI of the brain revealing abnormal focal pathology."
